time_ms,mass_flow_rate_kg_per_s
0.050000,0.000000
0.100000,0.000000
0.150000,0.000000
0.200000,0.000000
0.250000,0.000000
0.300000,0.032786
0.350000,0.143152
0.400000,0.253518
0.450000,0.363884
0.500000,0.474250
0.550000,0.584616
0.600000,0.694982
0.650000,0.805348
0.700000,0.915714
0.750000,1.026080
0.800000,1.136446
0.850000,1.246812
0.900000,1.357178
0.950000,1.467544
1.000000,1.577910
1.050000,1.688276
1.100000,1.798642
1.150000,1.909008
1.200000,2.019374
1.250000,2.129740
1.300000,2.240106
1.350000,2.342751
1.400000,2.445786
1.450000,2.549220
1.500000,2.653345
1.550000,2.756690
1.600000,2.858387
1.650000,2.955454
1.700000,3.048526
1.750000,3.136758
1.800000,3.220555
1.850000,3.300391
1.900000,3.377031
1.950000,3.448749
2.000000,3.516673
2.050000,3.579031
2.100000,3.636435
2.150000,3.691848
2.200000,3.745475
2.250000,3.797001
2.300000,3.847362
2.350000,3.897298
2.400000,3.946006
2.450000,3.992815
2.500000,4.036586
2.550000,4.077780
2.600000,4.117279
2.650000,4.154784
2.700000,4.190214
2.750000,4.224522
2.800000,4.257123
2.850000,4.288341
2.900000,4.317161
2.950000,4.342769
3.000000,4.365415
3.050000,4.387383
3.100000,4.409646
3.150000,4.433595
3.200000,4.458958
3.250000,4.482831
3.300000,4.503324
3.350000,4.521139
3.400000,4.535620
3.450000,4.549070
3.500000,4.563360
3.550000,4.576151
3.600000,4.588533
3.650000,4.600396
3.700000,4.610701
3.750000,4.618385
3.800000,4.623282
3.850000,4.626229
3.900000,4.629962
3.950000,4.633868
4.000000,4.638531
4.050000,4.645454
4.100000,4.652268
4.150000,4.657431
4.200000,4.660921
4.250000,4.663787
4.300000,4.666548
4.350000,4.670099
4.400000,4.674562
4.450000,4.681100
4.500000,4.687037
4.550000,4.689843
4.600000,4.689875
4.650000,4.687919
4.700000,4.686916
4.750000,4.687336
4.800000,4.688362
4.850000,4.689972
4.900000,4.693491
4.950000,4.695367
5.000000,4.694399
5.050000,4.693147
5.100000,4.692763
5.150000,4.694499
5.200000,4.698682
5.250000,4.704300
5.300000,4.712616
5.350000,4.721300
5.400000,4.727249
5.450000,4.732093
5.500000,4.737394
5.550000,4.742160
5.600000,4.748223
5.650000,4.755828
5.700000,4.764066
5.750000,4.772002
5.800000,4.775326
5.850000,4.774706
5.900000,4.773810
5.950000,4.772453
6.000000,4.771274
6.050000,4.771845
6.100000,4.773283
6.150000,4.775241
6.200000,4.775687
6.250000,4.773488
6.300000,4.769966
6.350000,4.767429
6.400000,4.764747
6.450000,4.763535
6.500000,4.763658
6.550000,4.763111
6.600000,4.760074
6.650000,4.754321
6.700000,4.745947
6.750000,4.738194
6.800000,4.730685
6.850000,4.723775
6.900000,4.718308
6.950000,4.713186
7.000000,4.707403
7.050000,4.700366
7.100000,4.691374
7.150000,4.682803
7.200000,4.675793
7.250000,4.670156
7.300000,4.666633
7.350000,4.664411
7.400000,4.661501
7.450000,4.656971
7.500000,4.650555
7.550000,4.641489
7.600000,4.632671
7.650000,4.624803
7.700000,4.617654
7.750000,4.611635
7.800000,4.605792
7.850000,4.597097
7.900000,4.587102
7.950000,4.574664
8.000000,4.562504
8.050000,4.552659
8.100000,4.544866
8.150000,4.539445
8.200000,4.535394
8.250000,4.527919
8.300000,4.516818
8.350000,4.504639
8.400000,4.493394
8.450000,4.483399
8.500000,4.474135
8.550000,4.464694
8.600000,4.454803
8.650000,4.443636
8.700000,4.430129
8.750000,4.414117
8.800000,4.396686
8.850000,4.379741
8.900000,4.364735
8.950000,4.350716
9.000000,4.337720
9.050000,4.326024
9.100000,4.313094
9.150000,4.298677
9.200000,4.284850
9.250000,4.272862
9.300000,4.263740
9.350000,4.257320
9.400000,4.251842
9.450000,4.248062
9.500000,4.244173
9.550000,4.237141
9.600000,4.228911
9.650000,4.221599
9.700000,4.215230
9.750000,4.210525
9.800000,4.206321
9.850000,4.202265
9.900000,4.197201
9.950000,4.190074
10.000000,4.180151
10.050000,4.171652
10.100000,4.165282
10.150000,4.160045
10.200000,4.156190
10.250000,4.152727
10.300000,4.148000
10.350000,4.142207
10.400000,4.132709
10.450000,4.122679
10.500000,4.114280
10.550000,4.105373
10.600000,4.096786
10.650000,4.089743
10.700000,4.083098
10.750000,4.074168
10.800000,4.062471
10.850000,4.048165
10.900000,4.036583
10.950000,4.025267
11.000000,4.013499
11.050000,4.003945
11.100000,3.994649
11.150000,3.983446
11.200000,3.970439
11.250000,3.955163
11.300000,3.940100
11.350000,3.926235
11.400000,3.911811
11.450000,3.898659
11.500000,3.886670
11.550000,3.872075
11.600000,3.855300
11.650000,3.837259
11.700000,3.820203
11.750000,3.805137
11.800000,3.791702
11.850000,3.779768
11.900000,3.769962
11.950000,3.760685
12.000000,3.750049
12.050000,3.739445
