time_ms,pressure_mpa
0.05,0.98625
0.1,0.98917
0.15,0.98583
0.2,0.98708
0.25,0.98625
0.3,0.98042
0.35,0.98417
0.4,0.98792
0.45,0.98042
0.5,0.98167
0.55,0.985
0.6,0.98375
0.65,0.98583
0.7,0.98625
0.75,0.98625
0.8,0.99042
0.85,0.98333
0.9,0.97708
0.95,0.98625
1,0.98292
1.05,0.98167
1.1,0.98042
1.15,0.97875
1.2,0.97917
1.25,0.98042
1.3,0.96833
1.35,0.97125
1.4,0.97417
1.45,0.96833
1.5,0.97125
1.55,0.97542
1.6,0.97542
1.65,0.97125
1.7,0.97458
1.75,0.96917
1.8,0.965
1.85,0.96292
1.9,0.96625
1.95,0.96917
2,0.96833
2.05,0.96292
2.1,0.95083
2.15,0.95125
2.2,0.95333
2.25,0.95208
2.3,0.94583
2.35,0.9475
2.4,0.95208
2.45,0.94583
2.5,0.93958
2.55,0.93958
2.6,0.93875
2.65,0.93958
2.7,0.94
2.75,0.93833
2.8,0.94667
2.85,0.94417
2.9,0.93333
2.95,0.93375
3,0.93
3.05,0.92583
3.1,0.92792
3.15,0.92708
3.2,0.92542
3.25,0.9275
3.3,0.91417
3.35,0.90917
3.4,0.9125
3.45,0.90875
3.5,0.91042
3.55,0.91375
3.6,0.91083
3.65,0.9125
3.7,0.9125
3.75,0.89875
3.8,0.90333
3.85,0.90208
3.9,0.89917
3.95,0.90333
4,0.90083
4.05,0.89708
4.1,0.89875
4.15,0.88417
4.2,0.88375
4.25,0.88333
4.3,0.88125
4.35,0.88042
4.4,0.88375
4.45,0.87917
4.5,0.88083
4.55,0.87083
4.6,0.86792
4.65,0.87042
4.7,0.87042
4.75,0.87
4.8,0.87417
4.85,0.8725
4.9,0.87
4.95,0.87208
5,0.86
5.05,0.85417
5.1,0.85667
5.15,0.85417
5.2,0.85375
5.25,0.85375
5.3,0.85
5.35,0.85083
5.4,0.83917
5.45,0.835
5.5,0.83667
5.55,0.83875
5.6,0.84208
5.65,0.8525
5.7,0.85167
5.75,0.83875
5.8,0.82833
5.85,0.83
5.9,0.82708
5.95,0.82958
6,0.83042
6.05,0.82417
6.1,0.82625
6.15,0.82458
6.2,0.8175
6.25,0.80917
6.3,0.80542
6.35,0.80792
6.4,0.80833
6.45,0.80458
6.5,0.80958
6.55,0.81292
6.6,0.80292
6.65,0.79875
6.7,0.79792
6.75,0.79708
6.8,0.8025
6.85,0.8025
6.9,0.79875
6.95,0.80375
7,0.79375
7.05,0.78333
7.1,0.78417
7.15,0.78125
7.2,0.7825
7.25,0.78333
7.3,0.78
7.35,0.77917
7.4,0.78167
7.45,0.76375
7.5,0.76125
7.55,0.76875
7.6,0.76625
7.65,0.77083
7.7,0.77125
7.75,0.76625
7.8,0.775
7.85,0.76208
7.9,0.75417
7.95,0.76167
8,0.75833
8.05,0.75083
8.1,0.75583
8.15,0.75333
8.2,0.75375
8.25,0.75417
8.3,0.73167
8.35,0.73583
8.4,0.74083
8.45,0.73167
8.5,0.73583
8.55,0.74083
8.6,0.73833
8.65,0.74167
8.7,0.73
8.75,0.72583
8.8,0.73292
8.85,0.73
8.9,0.72583
8.95,0.73333
9,0.73042
9.05,0.725
9.1,0.715
9.15,0.71042
9.2,0.71167
9.25,0.71333
9.3,0.70833
9.35,0.70875
9.4,0.7125
9.45,0.70708
9.5,0.7075
9.55,0.70208
9.6,0.69917
9.65,0.7
9.7,0.70083
9.75,0.70083
9.8,0.70583
9.85,0.70292
9.9,0.69833
9.95,0.69458
10,0.69125
10.05,0.68708
10.1,0.68958
10.15,0.68625
10.2,0.68708
10.25,0.68875
10.3,0.685
10.35,0.67
10.4,0.67542
10.45,0.66833
10.5,0.66917
10.55,0.67458
10.6,0.67292
10.65,0.67625
10.7,0.67625
10.75,0.66375
10.8,0.66667
10.85,0.66958
10.9,0.66792
10.95,0.67083
11,0.66458
11.05,0.66083
11.1,0.66167
11.15,0.6525
11.2,0.65
11.25,0.64833
11.3,0.64542
11.35,0.64542
11.4,0.64833
11.45,0.64417
11.5,0.645
11.55,0.64458
11.6,0.63667
11.65,0.63875
11.7,0.63875
11.75,0.63917
11.8,0.64333
11.85,0.64167
11.9,0.63792
11.95,0.64542
12,0.63542
12.05,0.62583
12.1,0.6275
12.15,0.6275
12.2,0.62708
12.25,0.62792
12.3,0.62333
12.35,0.62458
12.4,0.61792
12.45,0.6125
12.5,0.61167
12.55,0.61625
12.6,0.615
12.65,0.61583
12.7,0.615
12.75,0.61542
12.8,0.60958
12.85,0.60792
12.9,0.6025
12.95,0.60625
13,0.60875
13.05,0.60292
13.1,0.60458
13.15,0.605
13.2,0.60625
13.25,0.59208
13.3,0.59
13.35,0.59125
13.4,0.59833
13.45,0.58833
13.5,0.59
13.55,0.59708
13.6,0.59125
13.65,0.58542
13.7,0.58375
13.75,0.58417
13.8,0.58542
13.85,0.58458
13.9,0.58042
13.95,0.58833
14,0.585
14.05,0.5725
14.1,0.57292
14.15,0.5725
14.2,0.57333
14.25,0.5725
14.3,0.57042
14.35,0.57208
14.4,0.5725
14.45,0.565
14.5,0.56
14.55,0.56417
14.6,0.5625
