time_ms,pressure_mpa,pressure_raw_mpa,dp_dt_mpa_per_s,mass_flow_rate_kg_per_s,volumetric_flow_rate_m3_per_s,leak_velocity_m_per_s,orifice_flow_rate_kg_per_s,cumulative_leak_kg
0.050000,0.984848,0.986250,3.851274,0.000000,0.000000,0.000000,5.508669,0.000000
0.100000,0.984848,0.989170,3.032366,0.000000,0.000000,0.000000,5.508669,0.000000
0.150000,0.984848,0.985830,2.213457,0.000000,0.000000,0.000000,5.508669,0.000000
0.200000,0.984848,0.987080,1.394548,0.000000,0.000000,0.000000,5.508669,0.000000
0.250000,0.984848,0.986250,0.575639,0.000000,0.000000,0.000000,5.508669,0.000000
0.300000,0.984848,0.980420,-0.243270,0.032786,0.041516,4.562243,5.508669,0.000001
0.350000,0.984848,0.984170,-1.062178,0.143152,0.181271,19.919937,5.508669,0.000005
0.400000,0.984848,0.987920,-1.881087,0.253518,0.321026,35.277632,5.508669,0.000015
0.450000,0.984848,0.980420,-2.699996,0.363884,0.460781,50.635327,5.508669,0.000031
0.500000,0.984848,0.981670,-3.518905,0.474250,0.600536,65.993021,5.508669,0.000052
0.550000,0.984848,0.985000,-4.337814,0.584616,0.740292,81.350716,5.508669,0.000078
0.600000,0.984848,0.983750,-5.156722,0.694982,0.880047,96.708411,5.508669,0.000110
0.650000,0.984838,0.985830,-5.975631,0.805348,1.019812,112.067264,5.508612,0.000147
0.700000,0.984537,0.986250,-6.794540,0.915714,1.159923,127.464076,5.506928,0.000191
0.750000,0.984190,0.986250,-7.613449,1.026080,1.300181,142.877008,5.504986,0.000239
0.800000,0.983796,0.990420,-8.432358,1.136446,1.440605,158.308248,5.502786,0.000293
0.850000,0.983357,0.983330,-9.251266,1.246812,1.581216,173.759993,5.500327,0.000353
0.900000,0.982871,0.977080,-10.070175,1.357178,1.722033,189.234448,5.497611,0.000418
0.950000,0.982339,0.986250,-10.889084,1.467544,1.863078,204.733828,5.494635,0.000488
1.000000,0.981761,0.982920,-11.707993,1.577910,2.004369,220.260361,5.491402,0.000565
1.050000,0.981137,0.981670,-12.526902,1.688276,2.145928,235.816288,5.487910,0.000646
1.100000,0.980466,0.980420,-13.345810,1.798642,2.287775,251.403862,5.484160,0.000733
1.150000,0.979750,0.978750,-14.164719,1.909008,2.429931,267.025353,5.480152,0.000826
1.200000,0.978987,0.979170,-14.983628,2.019374,2.572416,282.683045,5.475886,0.000924
1.250000,0.978178,0.980420,-15.802537,2.129740,2.715251,298.379242,5.471361,0.001028
1.300000,0.977323,0.968330,-16.621445,2.240106,2.858458,314.116262,5.466578,0.001137
1.350000,0.976471,0.971250,-17.383063,2.342751,2.992046,328.796263,5.461810,0.001252
1.400000,0.975588,0.974170,-18.147577,2.445786,3.126463,343.567372,5.456873,0.001372
1.450000,0.974516,0.968330,-18.915047,2.549220,3.262267,358.490837,5.450879,0.001496
1.500000,0.973453,0.971250,-19.687647,2.653345,3.399224,373.541153,5.444932,0.001626
1.550000,0.972073,0.975420,-20.454466,2.756690,3.536635,388.641160,5.437215,0.001762
1.600000,0.970556,0.975420,-21.209046,2.858387,3.672837,403.608469,5.428727,0.001902
1.650000,0.969394,0.971250,-21.929276,2.955454,3.802115,417.814857,5.422225,0.002047
1.700000,0.968257,0.974580,-22.619865,3.048526,3.926454,431.478476,5.415867,0.002198
1.750000,0.966929,0.969170,-23.274544,3.136758,4.045646,444.576441,5.408438,0.002352
1.800000,0.965650,0.965000,-23.896311,3.220555,4.159222,457.057382,5.401287,0.002511
1.850000,0.964318,0.962920,-24.488692,3.300391,4.268217,469.034791,5.393835,0.002674
1.900000,0.962906,0.966250,-25.057355,3.377031,4.373736,480.630333,5.385936,0.002841
1.950000,0.961544,0.969170,-25.589493,3.448749,4.472946,491.532495,5.378319,0.003012
